idEmpleado,idPuesto,idPersona,idParque,Descripcion
1,2,478,1,'Administracion'
2,2,482,1,'Administracion'
3,3,483,1,'Licenciatura en Zoologia'
4,3,484,1,'Bachillerato en Botanica'
5,3,485,1,'Doctorado en Vida Marina'
6,4,486,1,'Mantenimiento de Rutas'
7,4,487,1,'Conservacion de Habitat Animal'
8,4,488,1,'Mantenimiento de Instalaciones'
9,4,490,1,'Conservacion de Habitat Animal'
10,4,491,1,'Mantenimiento de Instalaciones'
11,2,478,2,'Administracion'
12,2,482,2,'Administracion'
13,3,483,2,'Licenciatura en Zoologia'
14,3,484,2,'Bachillerato en Botanica'
15,3,485,2,'Doctorado en Vida Marina'
16,4,486,2,'Mantenimiento de Rutas'
17,4,487,2,'Conservacion de Habitat Animal'
18,4,488,2,'Mantenimiento de Instalaciones'
19,4,490,2,'Conservacion de Habitat Animal'
20,4,491,2,'Mantenimiento de Instalaciones'
21,2,478,3,'Administracion'
22,2,482,3,'Administracion'
23,3,483,3,'Licenciatura en Zoologia'
24,3,484,3,'Bachillerato en Botanica'
25,3,485,3,'Doctorado en Vida Marina'
26,4,486,3,'Mantenimiento de Rutas'
27,4,487,3,'Conservacion de Habitat Animal'
28,4,488,3,'Mantenimiento de Instalaciones'
29,4,490,3,'Conservacion de Habitat Animal'
30,4,491,3,'Mantenimiento de Instalaciones'
31,2,478,4,'Administracion'
32,2,482,4,'Administracion'
33,3,483,4,'Licenciatura en Zoologia'
34,3,484,4,'Bachillerato en Botanica'
35,3,485,4,'Doctorado en Vida Marina'
36,4,486,4,'Mantenimiento de Rutas'
37,4,487,4,'Conservacion de Habitat Animal'
38,4,488,4,'Mantenimiento de Instalaciones'
39,4,490,4,'Conservacion de Habitat Animal'
40,4,491,4,'Mantenimiento de Instalaciones'
41,2,478,5,'Administracion'
42,2,482,5,'Administracion'
43,3,483,5,'Licenciatura en Zoologia'
44,3,484,5,'Bachillerato en Botanica'
45,3,485,5,'Doctorado en Vida Marina'
46,4,486,5,'Mantenimiento de Rutas'
47,4,487,5,'Conservacion de Habitat Animal'
48,4,488,5,'Mantenimiento de Instalaciones'
49,4,490,5,'Conservacion de Habitat Animal'
50,4,491,5,'Mantenimiento de Instalaciones'
51,2,478,6,'Administracion'
52,2,482,6,'Administracion'
53,3,483,6,'Licenciatura en Zoologia'
54,3,484,6,'Bachillerato en Botanica'
55,3,485,6,'Doctorado en Vida Marina'
56,4,486,6,'Mantenimiento de Rutas'
57,4,487,6,'Conservacion de Habitat Animal'
58,4,488,6,'Mantenimiento de Instalaciones'
59,4,490,6,'Conservacion de Habitat Animal'
60,4,491,6,'Mantenimiento de Instalaciones'
61,2,478,7,'Administracion'
62,2,482,7,'Administracion'
63,3,483,7,'Licenciatura en Zoologia'
64,3,484,7,'Bachillerato en Botanica'
65,3,485,7,'Doctorado en Vida Marina'
66,4,486,7,'Mantenimiento de Rutas'
