idEmpleado,idVehiculo,Inicio,Fin
3,1,'2012-01-01',
4,2,'2012-01-01',
5,3,'2012-01-01',
6,4,'2012-01-01',
7,5,'2012-01-01',
28,6,'2012-01-01',
29,7,'2012-01-01',
30,8,'2012-01-01',
31,9,'2012-01-01',
32,10,'2012-01-01',
53,11,'2012-01-01',
54,12,'2012-01-01',
55,13,'2012-01-01',
56,14,'2012-01-01',
57,15,'2012-01-01',
78,16,'2012-01-01',
79,17,'2012-01-01',
80,18,'2012-01-01',
81,19,'2012-01-01',
82,20,'2012-01-01',
103,21,'2012-01-01',
104,22,'2012-01-01',
105,23,'2012-01-01',
106,24,'2012-01-01',
107,25,'2012-01-01',
128,26,'2012-01-01',
129,27,'2012-01-01',
130,28,'2012-01-01',
131,29,'2012-01-01',
132,30,'2012-01-01',
153,31,'2012-01-01',
154,32,'2012-01-01',
155,33,'2012-01-01',
156,34,'2012-01-01',
157,35,'2012-01-01',
178,36,'2012-01-01',
179,37,'2012-01-01',
180,38,'2012-01-01',
181,39,'2012-01-01',
182,40,'2012-01-01',
203,41,'2012-01-01',
204,42,'2012-01-01',
205,43,'2012-01-01',
206,44,'2012-01-01',
207,45,'2012-01-01',
228,46,'2012-01-01',
229,47,'2012-01-01',
230,48,'2012-01-01',
231,49,'2012-01-01',
232,50,'2012-01-01',
253,51,'2012-01-01',
254,52,'2012-01-01',
255,53,'2012-01-01',
256,54,'2012-01-01',
257,55,'2012-01-01',
278,56,'2012-01-01',
279,57,'2012-01-01',
280,58,'2012-01-01',
281,59,'2012-01-01',
282,60,'2012-01-01',
303,61,'2012-01-01',
304,62,'2012-01-01',
305,63,'2012-01-01',
306,64,'2012-01-01',
307,65,'2012-01-01',
328,66,'2012-01-01',
329,67,'2012-01-01',
330,68,'2012-01-01',
331,69,'2012-01-01',
332,70,'2012-01-01',
353,71,'2012-01-01',
354,72,'2012-01-01',
355,73,'2012-01-01',
356,74,'2012-01-01',
357,75,'2012-01-01',
378,76,'2012-01-01',
379,77,'2012-01-01',
380,78,'2012-01-01',
381,79,'2012-01-01',
382,80,'2012-01-01',
403,81,'2012-01-01',
404,82,'2012-01-01',
405,83,'2012-01-01',
406,84,'2012-01-01',
407,85,'2012-01-01',
428,86,'2012-01-01',
429,87,'2012-01-01',
430,88,'2012-01-01',
431,89,'2012-01-01',
432,90,'2012-01-01',
453,91,'2012-01-01',
454,92,'2012-01-01',
455,93,'2012-01-01',
456,94,'2012-01-01',
457,95,'2012-01-01',
478,96,'2012-01-01',
479,97,'2012-01-01',
480,98,'2012-01-01',
481,99,'2012-01-01',
482,100,'2012-01-01',
503,101,'2012-01-01',
504,102,'2012-01-01',
505,103,'2012-01-01',
506,104,'2012-01-01',
507,105,'2012-01-01',
528,106,'2012-01-01',
529,107,'2012-01-01',
530,108,'2012-01-01',
531,109,'2012-01-01',
532,110,'2012-01-01',
553,111,'2012-01-01',
554,112,'2012-01-01',
555,113,'2012-01-01',
556,114,'2012-01-01',
557,115,'2012-01-01',
578,116,'2012-01-01',
579,117,'2012-01-01',
580,118,'2012-01-01',
581,119,'2012-01-01',
582,120,'2012-01-01',
603,121,'2012-01-01',
604,122,'2012-01-01',
605,123,'2012-01-01',
606,124,'2012-01-01',
607,125,'2012-01-01',
628,126,'2012-01-01',
629,127,'2012-01-01',
630,128,'2012-01-01',
631,129,'2012-01-01',
632,130,'2012-01-01',
653,131,'2012-01-01',
654,132,'2012-01-01',
655,133,'2012-01-01',
656,134,'2012-01-01',
657,135,'2012-01-01',
678,136,'2012-01-01',
679,137,'2012-01-01',
680,138,'2012-01-01',
681,139,'2012-01-01',
682,140,'2012-01-01',
703,141,'2012-01-01',
704,142,'2012-01-01',
705,143,'2012-01-01',
706,144,'2012-01-01',
707,145,'2012-01-01',
728,146,'2012-01-01',
729,147,'2012-01-01',
730,148,'2012-01-01',
731,149,'2012-01-01',
732,150,'2012-01-01',
753,151,'2012-01-01',
754,152,'2012-01-01',
755,153,'2012-01-01',
756,154,'2012-01-01',
757,155,'2012-01-01',
778,156,'2012-01-01',
779,157,'2012-01-01',
780,158,'2012-01-01',
781,159,'2012-01-01',
782,160,'2012-01-01',
803,161,'2012-01-01',
804,162,'2012-01-01',
805,163,'2012-01-01',
806,164,'2012-01-01',
807,165,'2012-01-01',
828,166,'2012-01-01',
829,167,'2012-01-01',
830,168,'2012-01-01',
831,169,'2012-01-01',
832,170,'2012-01-01',
853,171,'2012-01-01',
854,172,'2012-01-01',
855,173,'2012-01-01',
856,174,'2012-01-01',
857,175,'2012-01-01',
878,176,'2012-01-01',
879,177,'2012-01-01',
880,178,'2012-01-01',
881,179,'2012-01-01',
882,180,'2012-01-01',
903,181,'2012-01-01',
904,182,'2012-01-01',
905,183,'2012-01-01',
906,184,'2012-01-01',
907,185,'2012-01-01',
928,186,'2012-01-01',
929,187,'2012-01-01',
930,188,'2012-01-01',
931,189,'2012-01-01',
932,190,'2012-01-01',
953,191,'2012-01-01',
954,192,'2012-01-01',
955,193,'2012-01-01',
956,194,'2012-01-01',
957,195,'2012-01-01',
978,196,'2012-01-01',
979,197,'2012-01-01',
980,198,'2012-01-01',
981,199,'2012-01-01',
982,200,'2012-01-01',
1003,201,'2012-01-01',
1004,202,'2012-01-01',
1005,203,'2012-01-01',
1006,204,'2012-01-01',
1007,205,'2012-01-01',
1028,206,'2012-01-01',
1029,207,'2012-01-01',
1030,208,'2012-01-01',
1031,209,'2012-01-01',
1032,210,'2012-01-01',
1053,211,'2012-01-01',
1054,212,'2012-01-01',
1055,213,'2012-01-01',
1056,214,'2012-01-01',
1057,215,'2012-01-01',
1078,216,'2012-01-01',
1079,217,'2012-01-01',
1080,218,'2012-01-01',
1081,219,'2012-01-01',
1082,220,'2012-01-01',
1103,221,'2012-01-01',
1104,222,'2012-01-01',
1105,223,'2012-01-01',
1106,224,'2012-01-01',
1107,225,'2012-01-01',
1128,226,'2012-01-01',
1129,227,'2012-01-01',
