Cantidad,idEspecie,idAreaParque
49,1,1
21,9,1
13,17,1
11,2,1
10,9,1
10,17,1
45,3,1
44,9,1
36,17,1
18,4,1
36,9,1
33,17,1
46,5,1
43,9,1
22,17,1
46,6,1
12,9,1
22,17,1
21,7,1
49,9,1
11,17,2
43,8,2
31,9,2
40,17,2
11,1,2
21,10,2
35,17,2
29,2,2
43,10,2
29,17,2
50,3,2
21,10,2
20,17,2
37,4,2
47,10,2
31,17,2
16,5,2
47,10,2
23,17,2
41,6,2
36,10,3
28,17,3
38,7,3
25,10,3
50,17,3
20,8,3
40,10,3
20,17,3
24,1,3
20,11,3
14,17,3
48,2,3
41,11,3
20,17,3
34,3,3
30,11,3
24,17,3
27,4,3
41,11,3
16,17,3
18,5,4
22,11,4
16,17,4
24,6,4
40,11,4
28,17,4
33,7,4
11,11,4
40,17,4
33,8,4
13,11,4
23,17,4
20,1,4
13,12,4
44,17,4
36,2,4
31,12,4
15,17,4
21,3,4
38,12,4
49,17,5
38,4,5
40,12,5
30,17,5
25,5,5
41,12,5
44,17,5
40,6,5
14,12,5
44,17,5
10,7,5
46,12,5
27,17,5
23,8,5
14,12,5
15,17,5
14,1,5
44,13,5
42,17,5
25,2,5
22,13,6
14,17,6
29,3,6
11,13,6
36,17,6
48,4,6
37,13,6
12,17,6
48,5,6
12,13,6
28,17,6
36,6,6
49,13,6
29,17,6
41,7,6
47,13,6
33,17,6
20,8,6
28,13,6
44,17,6
28,1,7
11,14,7
39,17,7
10,2,7
10,14,7
43,17,7
49,3,7
34,14,7
49,17,7
14,4,7
35,14,7
39,17,7
38,5,7
12,14,7
42,17,7
35,6,7
24,14,7
48,17,7
35,7,7
39,14,7
20,17,8
14,8,8
38,14,8
12,17,8
43,1,8
42,15,8
20,17,8
46,2,8
43,15,8
24,17,8
38,3,8
13,15,8
27,17,8
20,4,8
14,15,8
35,17,8
32,5,8
16,15,8
27,17,8
26,6,8
47,15,9
29,17,9
38,7,9
45,15,9
49,17,9
11,8,9
33,15,9
32,17,9
20,1,9
24,16,9
42,17,9
17,2,9
17,16,9
35,17,9
17,3,9
36,16,9
34,17,9
18,4,9
33,16,9
44,17,9
23,5,10
30,16,10
25,17,10
42,6,10
41,16,10
32,17,10
39,7,10
32,16,10
14,17,10
44,8,10
12,16,10
47,17,10
11,1,10
18,9,10
16,18,10
14,2,10
43,9,10
36,18,10
33,3,10
28,9,10
39,18,11
15,4,11
41,9,11
31,18,11
26,5,11
18,9,11
32,18,11
29,6,11
43,9,11
42,18,11
42,7,11
50,9,11
31,18,11
46,8,11
23,9,11
14,18,11
39,1,11
18,10,11
44,18,11
29,2,11
42,10,12
22,18,12
22,3,12
43,10,12
25,18,12
24,4,12
17,10,12
31,18,12
30,5,12
10,10,12
18,18,12
29,6,12
45,10,12
48,18,12
16,7,12
16,10,12
26,18,12
41,8,12
10,10,12
48,18,12
28,1,13
34,11,13
14,18,13
49,2,13
17,11,13
50,18,13
38,3,13
10,11,13
38,18,13
27,4,13
49,11,13
42,18,13
17,5,13
37,11,13
32,18,13
27,6,13
37,11,13
45,18,13
43,7,13
16,11,13
21,18,13
15,8,14
26,11,14
49,18,14
13,1,14
15,12,14
15,18,14
27,2,14
45,12,14
39,18,14
22,3,14
31,12,14
10,18,14
27,4,14
50,12,14
49,18,14
17,5,14
14,12,14
41,18,14
16,6,14
23,12,14
46,18,15
29,7,15
37,12,15
29,18,15
30,8,15
45,12,15
33,18,15
11,1,15
46,13,15
41,18,15
39,2,15
50,13,15
44,18,15
38,3,15
37,13,15
30,18,15
32,4,15
14,13,15
38,18,15
26,5,15
23,13,16
11,18,16
25,6,16
22,13,16
18,18,16
15,7,16
42,13,16
35,18,16
20,8,16
41,13,16
18,18,16
35,1,16
18,14,16
16,18,16
13,2,16
32,14,16
45,18,16
28,3,16
11,14,16
40,18,16
39,4,17
44,14,17
19,18,17
43,5,17
21,14,17
15,18,17
27,6,17
40,14,17
47,18,17
23,7,17
38,14,17
15,18,17
25,8,17
38,14,17
10,18,17
31,1,17
27,15,17
19,18,17
39,2,17
27,15,17
32,18,18
11,3,18
28,15,18
40,18,18
10,4,18
22,15,18
10,18,18
40,5,18
23,15,18
19,18,18
37,6,18
48,15,18
35,18,18
25,7,18
31,15,18
43,18,18
12,8,18
30,15,18
14,18,18
48,1,18
29,16,19
42,18,19
24,2,19
36,16,19
34,18,19
15,3,19
14,16,19
10,18,19
22,4,19
22,16,19
41,18,19
50,5,19
50,16,19
22,18,19
16,6,19
11,16,19
16,18,19
23,7,19
10,16,19
22,18,19
21,8,20
43,16,20
34,18,20
26,1,20
17,9,20
26,19,20
12,2,20
17,9,20
18,19,20
43,3,20
34,9,20
33,19,20
12,4,20
22,9,20
39,19,20
19,5,20
49,9,20
45,19,20
13,6,20
