idEventoExcursion,idHorarioXExcursion,idTipoVehiculo,idVisitante,PrecioEntrada
1,1,3,1801,20
2,1,1,1075,20
3,1,1,973,20
4,1,0,1339,20
5,1,2,839,20
6,1,0,1804,20
7,1,0,1159,20
8,1,1,1421,20
9,1,1,1069,20
10,1,0,1346,24
11,1,3,48,22
12,1,2,866,21
13,1,0,158,25
14,1,0,1745,20
15,1,3,1704,21
16,1,3,1138,20
17,1,3,1256,23
18,1,1,751,20
19,1,3,122,24
20,1,0,626,23
21,1,0,1593,25
22,1,1,1396,25
23,1,1,1702,25
24,1,1,657,24
25,1,2,509,22
26,1,3,1453,20
27,1,3,569,20
28,1,0,1071,24
29,1,1,1725,24
30,1,2,1455,23
31,1,0,1599,22
32,1,0,1147,25
33,1,2,1986,22
34,1,2,306,25
35,1,1,1888,21
36,1,3,1276,23
37,1,0,1772,22
38,1,3,909,23
39,1,0,694,23
40,1,0,1102,22
41,1,3,1849,24
42,1,2,1170,25
43,1,2,521,22
44,1,0,553,24
45,1,2,420,21
46,1,2,1478,20
47,1,2,276,24
48,1,0,273,23
49,1,3,535,21
50,1,1,1991,24
51,1,0,1815,21
52,1,2,503,20
53,1,3,1761,25
54,1,0,747,25
55,1,0,579,25
56,1,1,423,22
57,1,1,1123,23
58,1,2,49,25
59,1,0,1428,22
60,1,2,311,24
61,1,2,336,22
62,1,3,1370,21
63,1,1,950,22
64,1,3,183,20
65,1,0,735,20
66,1,2,742,24
67,1,3,599,25
68,1,0,835,22
69,1,3,1301,20
70,1,1,279,20
71,1,0,774,22
72,1,0,303,21
73,1,3,1740,23
74,1,2,1322,25
75,1,0,1607,24
76,2,2,1051,21
77,2,3,1212,20
78,2,0,919,20
79,2,2,1973,20
80,2,0,1997,23
81,2,2,550,25
82,2,0,577,21
83,2,2,624,24
84,2,1,1868,22
85,2,0,1271,20
86,2,3,435,20
87,2,0,269,23
88,2,3,819,25
89,2,3,1870,20
90,2,2,1487,23
91,2,3,446,23
92,2,0,632,24
93,2,0,589,20
94,2,1,1760,21
95,2,3,908,25
96,2,0,1423,20
97,2,2,797,22
98,2,2,99,24
99,2,0,1926,25
100,2,0,73,21
101,2,0,1194,23
102,2,2,1816,25
103,2,2,1123,23
104,2,0,1068,22
105,2,0,2,22
106,2,0,1365,23
107,2,3,829,22
108,2,2,1412,23
109,2,0,1506,25
110,2,1,440,24
111,2,2,1864,25
112,2,1,1208,20
113,2,1,1510,25
114,2,2,1296,25
115,2,3,1074,24
116,2,2,1131,21
117,2,1,1228,20
118,2,1,72,21
119,2,2,692,22
120,2,3,1896,23
121,2,0,1529,24
122,2,2,1403,23
123,2,0,1613,21
124,2,3,745,24
125,2,1,866,23
126,2,2,1673,23
127,2,3,699,25
128,2,2,280,20
129,2,3,8,25
130,2,3,1579,21
131,2,3,428,20
132,2,3,1928,25
133,2,3,910,21
134,2,0,454,22
135,2,3,969,20
136,2,2,1631,23
137,2,3,847,23
138,2,0,1370,25
139,2,2,983,22
140,2,2,362,24
141,2,0,69,22
142,2,1,622,22
143,2,2,182,24
144,2,2,1502,21
145,2,0,1516,24
146,2,2,353,23
147,2,0,1131,23
148,2,3,801,22
149,2,1,1796,23
150,2,0,122,22
151,3,1,1121,24
152,3,2,594,20
153,3,2,216,25
154,3,3,373,22
155,3,2,592,25
156,3,3,1263,24
157,3,1,1720,22
158,3,2,1534,20
159,3,0,843,24
160,3,1,1560,20
161,3,3,487,22
162,3,2,574,23
163,3,3,530,22
164,3,0,1002,23
165,3,0,289,24
166,3,0,1411,24
167,3,2,1652,20
168,3,0,1246,23
169,3,1,1898,25
170,3,0,1097,21
171,3,0,112,25
172,3,3,1686,20
173,3,0,1245,21
174,3,2,607,20
175,3,1,686,22
176,3,0,1762,21
177,3,1,412,23
178,3,1,1045,24
179,3,2,1508,23
180,3,0,1781,21
181,3,0,760,25
182,3,2,1395,20
183,3,0,1017,20
184,3,0,1716,23
185,3,1,109,23
186,3,1,1588,23
187,3,1,1150,22
188,3,2,1394,20
189,3,3,1380,24
190,3,3,67,22
191,3,0,258,23
192,3,2,1411,20
193,3,2,1067,20
194,3,3,1865,20
195,3,0,1039,24
196,3,1,804,25
197,3,2,1832,22
198,3,2,881,22
199,3,2,291,21
200,3,0,983,22
201,3,2,960,23
202,3,3,1549,24
203,3,0,1293,22
204,3,3,1930,24
205,3,3,1140,20
206,3,3,1155,22
207,3,2,1777,24
208,3,3,1902,21
209,3,0,771,21
210,3,3,1255,23
211,3,3,1907,20
212,3,3,1801,21
213,3,3,831,21
214,3,2,682,24
215,3,2,613,22
216,3,3,1414,22
217,3,2,1343,20
218,3,1,1791,25
219,3,0,752,22
220,3,1,1482,23
221,3,1,1623,22
222,3,1,987,23
223,3,3,190,22
224,3,1,655,21
225,3,3,231,23
226,4,2,54,20
227,4,1,1943,22
228,4,0,589,25
229,4,3,929,21
230,4,0,318,20
231,4,1,1567,22
232,4,1,1544,25
233,4,1,1673,22
234,4,1,1852,20
235,4,2,1448,25
236,4,3,89,22
237,4,0,873,23
238,4,2,309,22
239,4,3,1731,20
240,4,2,266,22
241,4,0,999,22
242,4,2,487,22
243,4,1,1447,20
244,4,1,444,21
245,4,1,1006,23
246,4,0,676,20
247,4,3,154,21
248,4,0,1970,24
249,4,1,709,23
250,4,1,1082,24
251,4,2,251,22
252,4,2,277,23
253,4,0,1417,25
254,4,3,1585,20
255,4,0,1280,24
256,4,0,964,25
257,4,1,1292,25
258,4,3,1669,23
259,4,2,1804,25
260,4,0,697,21
261,4,3,397,25
262,4,1,1082,23
263,4,2,1445,20
264,4,2,410,25
265,4,3,825,20
266,4,1,1543,24
267,4,3,1226,24
268,4,2,298,22
269,4,2,1804,24
270,4,1,1389,24
271,4,0,885,22
272,4,2,723,25
273,4,3,883,22
