idExcursion,idAlojamiento,Nombre,PrecioOrganizacion,idAreaParque
1,1,'Vistamiento de fauna marina',98,1
2,2,'Vistamiento de fauna marina',94,1
3,3,'Vistamiento de fauna marina',87,2
4,4,'Vistamiento de fauna marina',86,2
5,5,'Vistamiento de fauna marina',88,3
6,6,'Vistamiento de fauna marina',100,3
7,7,'Vistamiento de fauna marina',86,4
8,8,'Vistamiento de fauna marina',96,4
9,9,'Vistamiento de fauna marina',92,5
10,10,'Vistamiento de fauna marina',825,5
11,11,'Vistamiento de fauna marina',89,6
12,12,'Vistamiento de fauna marina',75,6
13,13,'Vistamiento de fauna marina',93,7
14,14,'Vistamiento de fauna marina',76,7
15,15,'Vistamiento de fauna marina',100,8
16,16,'Vistamiento de fauna marina',77,8
17,17,'Vistamiento de fauna marina',79,9
18,18,'Vistamiento de fauna marina',96,9
19,19,'Vistamiento de fauna marina',75,10
20,20,'Vistamiento de fauna marina',86,10
21,21,'Vistamiento de fauna marina',76,11
22,22,'Vistamiento de fauna marina',80,11
23,23,'Vistamiento de fauna marina',94,12
24,24,'Vistamiento de fauna marina',98,12
25,25,'Vistamiento de fauna marina',82,13
26,26,'Vistamiento de fauna marina',75,13
27,27,'Vistamiento de fauna marina',79,14
28,28,'Vistamiento de fauna marina',83,14
29,29,'Vistamiento de fauna marina',84,15
30,30,'Vistamiento de fauna marina',99,15
31,31,'Vistamiento de fauna marina',77,16
32,32,'Vistamiento de fauna marina',96,16
33,33,'Vistamiento de fauna marina',96,17
34,34,'Vistamiento de fauna marina',81,17
35,35,'Vistamiento de fauna marina',82,18
36,36,'Vistamiento de fauna marina',75,18
37,37,'Vistamiento de fauna marina',85,19
38,38,'Vistamiento de fauna marina',99,19
39,39,'Vistamiento de fauna marina',75,20
40,40,'Vistamiento de fauna marina',84,20
41,41,'Vistamiento de fauna marina',75,21
42,42,'Vistamiento de fauna marina',85,21
43,43,'Vistamiento de fauna marina',97,22
44,44,'Vistamiento de fauna marina',92,22
45,45,'Vistamiento de fauna marina',80,23
46,46,'Vistamiento de fauna marina',82,23
47,47,'Vistamiento de fauna marina',86,24
48,48,'Vistamiento de fauna marina',94,24
49,49,'Vistamiento de fauna marina',87,25
50,50,'Vistamiento de fauna marina',81,25
51,51,'Vistamiento de fauna marina',85,26
52,52,'Vistamiento de fauna marina',82,26
53,53,'Vistamiento de fauna marina',80,27
54,54,'Vistamiento de fauna marina',82,27
55,55,'Vistamiento de fauna marina',98,28
56,56,'Vistamiento de fauna marina',81,28
57,57,'Vistamiento de fauna marina',91,29
58,58,'Vistamiento de fauna marina',87,29
59,59,'Vistamiento de fauna marina',88,30
60,60,'Vistamiento de fauna marina',87,30
61,61,'Vistamiento de fauna marina',99,31
62,62,'Vistamiento de fauna marina',100,31
63,63,'Vistamiento de fauna marina',80,32
64,64,'Vistamiento de fauna marina',79,32
65,65,'Vistamiento de fauna marina',77,33
66,66,'Vistamiento de fauna marina',88,33
67,67,'Vistamiento de fauna marina',81,34
68,68,'Vistamiento de fauna marina',94,34
69,69,'Vistamiento de fauna marina',85,35
70,70,'Vistamiento de fauna marina',77,35
71,71,'Vistamiento de fauna marina',84,36
72,72,'Vistamiento de fauna marina',100,36
73,73,'Vistamiento de fauna marina',88,37
74,74,'Vistamiento de fauna marina',87,37
75,75,'Vistamiento de fauna marina',76,38
76,76,'Vistamiento de fauna marina',89,38
77,77,'Vistamiento de fauna marina',76,39
78,78,'Vistamiento de fauna marina',85,39
79,79,'Vistamiento de fauna marina',79,40
80,80,'Vistamiento de fauna marina',97,40
81,81,'Vistamiento de fauna marina',96,41
82,82,'Vistamiento de fauna marina',86,41
83,83,'Vistamiento de fauna marina',84,42
84,84,'Vistamiento de fauna marina',99,42
85,85,'Vistamiento de fauna marina',75,43
86,86,'Vistamiento de fauna marina',79,43
87,87,'Vistamiento de fauna marina',95,44
88,88,'Vistamiento de fauna marina',94,44
89,89,'Vistamiento de fauna marina',96,45
90,90,'Vistamiento de fauna marina',77,45
91,91,'Vistamiento de fauna marina',75,46
92,92,'Vistamiento de fauna marina',92,46
93,93,'Vistamiento de fauna marina',76,47
94,94,'Vistamiento de fauna marina',78,47
95,95,'Vistamiento de fauna marina',86,48
96,96,'Vistamiento de fauna marina',80,48
97,97,'Vistamiento de fauna marina',80,49
98,98,'Vistamiento de fauna marina',88,49
99,99,'Vistamiento de fauna marina',100,50
100,100,'Vistamiento de fauna marina',100,50
101,1,'Tour por el bosque',94,51
102,2,'Tour por el bosque',100,51
103,3,'Tour por el bosque',80,52
104,4,'Tour por el bosque',80,52
105,5,'Tour por el bosque',91,53
106,6,'Tour por el bosque',80,53
107,7,'Tour por el bosque',90,54
108,8,'Tour por el bosque',90,54
109,9,'Tour por el bosque',93,55
110,10,'Tour por el bosque',87,55
111,11,'Tour por el bosque',92,56
112,12,'Tour por el bosque',85,56
113,13,'Tour por el bosque',98,57
114,14,'Tour por el bosque',82,57
115,15,'Tour por el bosque',80,58
116,16,'Tour por el bosque',83,58
117,17,'Tour por el bosque',83,59
118,18,'Tour por el bosque',100,59
119,19,'Tour por el bosque',86,60
120,20,'Tour por el bosque',91,60
121,21,'Tour por el bosque',90,61
122,22,'Tour por el bosque',98,61
123,23,'Tour por el bosque',100,62
124,24,'Tour por el bosque',85,62
125,25,'Tour por el bosque',91,63
126,26,'Tour por el bosque',95,63
127,27,'Tour por el bosque',92,64
128,28,'Tour por el bosque',86,64
129,29,'Tour por el bosque',93,65
130,30,'Tour por el bosque',80,65
131,31,'Tour por el bosque',86,66
132,32,'Tour por el bosque',100,66
133,33,'Tour por el bosque',97,67
134,34,'Tour por el bosque',84,67
135,35,'Tour por el bosque',93,68
136,36,'Tour por el bosque',99,68
137,37,'Tour por el bosque',93,69
138,38,'Tour por el bosque',93,69
139,39,'Tour por el bosque',99,70
140,40,'Tour por el bosque',99,70
141,41,'Tour por el bosque',95,71
142,42,'Tour por el bosque',98,71
143,43,'Tour por el bosque',82,72
144,44,'Tour por el bosque',80,72
145,45,'Tour por el bosque',94,73
146,46,'Tour por el bosque',83,73
147,47,'Tour por el bosque',85,74
148,48,'Tour por el bosque',91,74
149,49,'Tour por el bosque',90,75
150,50,'Tour por el bosque',87,75
151,51,'Tour por el bosque',85,76
152,52,'Tour por el bosque',83,76
153,53,'Tour por el bosque',87,77
154,54,'Tour por el bosque',87,77
155,55,'Tour por el bosque',100,78
156,56,'Tour por el bosque',98,78
157,57,'Tour por el bosque',93,79
158,58,'Tour por el bosque',83,79
159,59,'Tour por el bosque',96,80
160,60,'Tour por el bosque',97,80
161,61,'Tour por el bosque',82,81
162,62,'Tour por el bosque',90,81
163,63,'Tour por el bosque',97,82
164,64,'Tour por el bosque',81,82
165,65,'Tour por el bosque',82,83
166,66,'Tour por el bosque',85,83
167,67,'Tour por el bosque',92,84
168,68,'Tour por el bosque',92,84
169,69,'Tour por el bosque',86,85
170,70,'Tour por el bosque',93,85
171,71,'Tour por el bosque',82,86
172,72,'Tour por el bosque',85,86
173,73,'Tour por el bosque',84,87
174,74,'Tour por el bosque',83,87
175,75,'Tour por el bosque',91,88
176,76,'Tour por el bosque',95,88
177,77,'Tour por el bosque',97,89
178,78,'Tour por el bosque',80,89
179,79,'Tour por el bosque',84,90
180,80,'Tour por el bosque',96,90
181,81,'Tour por el bosque',88,91
182,82,'Tour por el bosque',85,91
183,83,'Tour por el bosque',92,92
184,84,'Tour por el bosque',88,92
185,85,'Tour por el bosque',86,93
186,86,'Tour por el bosque',86,93
187,87,'Tour por el bosque',88,94
188,88,'Tour por el bosque',89,94
189,89,'Tour por el bosque',96,95
190,90,'Tour por el bosque',82,95
191,91,'Tour por el bosque',87,96
192,92,'Tour por el bosque',82,96
193,93,'Tour por el bosque',80,97
194,94,'Tour por el bosque',98,97
195,95,'Tour por el bosque',95,98
196,96,'Tour por el bosque',100,98
197,97,'Tour por el bosque',85,99
198,98,'Tour por el bosque',98,99
199,99,'Tour por el bosque',91,100
200,100,'Tour por el bosque',100,100
