idHorarioXExcursion,idHorarioExcursion,idExcursion,Fecha
1,1,1,2015-09-11
2,1,2,2015-09-11
3,1,3,2015-09-11
4,1,4,2015-09-11
5,1,5,2015-09-11
6,1,6,2015-09-11
7,1,7,2015-09-11
8,1,8,2015-09-11
9,1,9,2015-09-11
10,1,10,2015-09-12
11,1,11,2015-09-12
12,1,12,2015-09-12
13,1,13,2015-09-12
14,1,14,2015-09-12
15,1,15,2015-09-12
16,1,16,2015-09-12
17,1,17,2015-09-12
18,1,18,2015-09-12
19,1,19,2015-09-12
20,1,20,2015-09-12
21,1,21,2015-09-12
22,1,22,2015-09-12
23,1,23,2015-09-12
24,1,24,2015-09-12
25,1,25,2015-09-12
26,1,26,2015-09-12
27,1,27,2015-09-12
28,1,28,2015-09-12
29,1,29,2015-09-12
30,1,30,2015-09-12
31,1,31,2015-09-12
32,1,32,2015-09-12
33,1,33,2015-09-12
34,1,34,2015-09-12
35,1,35,2015-09-12
36,1,36,2015-09-12
37,1,37,2015-09-12
38,1,38,2015-09-12
39,1,39,2015-09-12
40,1,40,2015-09-12
41,1,41,2015-09-12
42,1,42,2015-09-12
43,1,43,2015-09-12
44,1,44,2015-09-12
45,1,45,2015-09-12
46,1,46,2015-09-12
47,1,47,2015-09-12
48,1,48,2015-09-12
49,1,49,2015-09-12
50,1,50,2015-09-12
51,1,51,2015-09-12
52,1,52,2015-09-12
53,1,53,2015-09-12
54,1,54,2015-09-12
55,1,55,2015-09-12
56,1,56,2015-09-12
57,1,57,2015-09-12
58,1,58,2015-09-12
59,1,59,2015-09-12
60,1,60,2015-09-12
61,1,61,2015-09-12
62,1,62,2015-09-12
63,1,63,2015-09-12
64,1,64,2015-09-12
65,1,65,2015-09-12
66,1,66,2015-09-12
67,1,67,2015-09-12
68,1,68,2015-09-12
69,1,69,2015-09-12
70,1,70,2015-09-12
71,1,71,2015-09-12
72,1,72,2015-09-12
73,1,73,2015-09-12
74,1,74,2015-09-12
75,1,75,2015-09-12
76,1,76,2015-09-12
77,1,77,2015-09-12
78,1,78,2015-09-12
79,1,79,2015-09-12
80,1,80,2015-09-12
81,1,81,2015-09-12
82,1,82,2015-09-12
83,1,83,2015-09-12
84,1,84,2015-09-12
85,1,85,2015-09-12
86,1,86,2015-09-12
87,1,87,2015-09-12
88,1,88,2015-09-12
89,1,89,2015-09-12
90,1,90,2015-09-12
91,1,91,2015-09-12
92,1,92,2015-09-12
93,1,93,2015-09-12
94,1,94,2015-09-12
95,1,95,2015-09-12
96,1,96,2015-09-12
97,1,97,2015-09-12
98,1,98,2015-09-12
99,1,99,2015-09-12
100,2,100,2015-09-13
101,2,101,2015-09-13
102,2,102,2015-09-13
103,2,103,2015-09-13
104,2,104,2015-09-13
105,2,105,2015-09-13
106,2,106,2015-09-13
107,2,107,2015-09-13
108,2,108,2015-09-13
109,2,109,2015-09-13
110,2,110,2015-09-13
111,2,111,2015-09-13
112,2,112,2015-09-13
113,2,113,2015-09-13
114,2,114,2015-09-13
115,2,115,2015-09-13
116,2,116,2015-09-13
117,2,117,2015-09-13
118,2,118,2015-09-13
119,2,119,2015-09-13
120,2,120,2015-09-13
121,2,121,2015-09-13
122,2,122,2015-09-13
123,2,123,2015-09-13
124,2,124,2015-09-13
125,2,125,2015-09-13
126,2,126,2015-09-13
127,2,127,2015-09-13
128,2,128,2015-09-13
129,2,129,2015-09-13
130,2,130,2015-09-13
131,2,131,2015-09-13
132,2,132,2015-09-13
133,2,133,2015-09-13
134,2,134,2015-09-13
135,2,135,2015-09-13
136,2,136,2015-09-13
137,2,137,2015-09-13
138,2,138,2015-09-13
139,2,139,2015-09-13
140,2,140,2015-09-13
141,2,141,2015-09-13
142,2,142,2015-09-13
143,2,143,2015-09-13
144,2,144,2015-09-13
145,2,145,2015-09-13
146,2,146,2015-09-13
147,2,147,2015-09-13
148,2,148,2015-09-13
149,2,149,2015-09-13
150,2,150,2015-09-13
151,2,151,2015-09-13
152,2,152,2015-09-13
153,2,153,2015-09-13
154,2,154,2015-09-13
155,2,155,2015-09-13
156,2,156,2015-09-13
157,2,157,2015-09-13
158,2,158,2015-09-13
159,2,159,2015-09-13
160,2,160,2015-09-13
161,2,161,2015-09-13
162,2,162,2015-09-13
163,2,163,2015-09-13
164,2,164,2015-09-13
165,2,165,2015-09-13
166,2,166,2015-09-13
167,2,167,2015-09-13
168,2,168,2015-09-13
169,2,169,2015-09-13
170,2,170,2015-09-13
171,2,171,2015-09-13
172,2,172,2015-09-13
173,2,173,2015-09-13
174,2,174,2015-09-13
175,2,175,2015-09-13
176,2,176,2015-09-13
177,2,177,2015-09-13
178,2,178,2015-09-13
179,2,179,2015-09-13
180,2,180,2015-09-13
181,2,181,2015-09-13
182,2,182,2015-09-13
183,2,183,2015-09-13
184,2,184,2015-09-13
185,2,185,2015-09-13
186,2,186,2015-09-13
187,2,187,2015-09-13
188,2,188,2015-09-13
189,2,189,2015-09-13
190,2,190,2015-09-13
191,2,191,2015-09-13
192,2,192,2015-09-13
193,2,193,2015-09-13
194,2,194,2015-09-13
195,2,195,2015-09-13
196,2,196,2015-09-13
197,2,197,2015-09-13
198,2,198,2015-09-13
199,2,199,2015-09-13
200,2,200,2015-09-13
