idPago,idEmpleado,Fecha,Monto
1,1,2015-09-25,1309
2,1,2015-10-25,1309
3,2,2015-09-25,1345
4,2,2015-10-25,1047
5,3,2015-09-25,1439
6,3,2015-10-25,1321
7,4,2015-09-25,1497
8,4,2015-10-25,1037
9,5,2015-09-25,1041
10,5,2015-10-25,1309
11,6,2015-09-25,541
12,6,2015-10-25,528
13,7,2015-09-25,579
14,7,2015-10-25,625
15,8,2015-09-25,695
16,8,2015-10-25,538
17,9,2015-09-25,578
18,9,2015-10-25,629
19,10,2015-09-25,654
20,10,2015-10-25,764
21,11,2015-09-25,1282
22,11,2015-10-25,1249
23,12,2015-09-25,1181
24,12,2015-10-25,1045
25,13,2015-09-25,1048
26,13,2015-10-25,1092
27,14,2015-09-25,1339
28,14,2015-10-25,1317
29,15,2015-09-25,1027
30,15,2015-10-25,1483
31,16,2015-09-25,670
32,16,2015-10-25,624
33,17,2015-09-25,687
34,17,2015-10-25,558
35,18,2015-09-25,662
36,18,2015-10-25,567
37,19,2015-09-25,626
38,19,2015-10-25,521
39,20,2015-09-25,589
40,20,2015-10-25,645
41,21,2015-09-25,1187
42,21,2015-10-25,1025
43,22,2015-09-25,1393
44,22,2015-10-25,1219
45,23,2015-09-25,1485
46,23,2015-10-25,1341
47,24,2015-09-25,1399
48,24,2015-10-25,1475
49,25,2015-09-25,1361
50,25,2015-10-25,1116
51,26,2015-09-25,624
52,26,2015-10-25,618
53,27,2015-09-25,581
54,27,2015-10-25,651
55,28,2015-09-25,541
56,28,2015-10-25,611
57,29,2015-09-25,700
58,29,2015-10-25,638
59,30,2015-09-25,584
60,30,2015-10-25,618
61,31,2015-09-25,1307
62,31,2015-10-25,1054
63,32,2015-09-25,1276
64,32,2015-10-25,1476
65,33,2015-09-25,1078
66,33,2015-10-25,1242
67,34,2015-09-25,1394
68,34,2015-10-25,1005
69,35,2015-09-25,1060
70,35,2015-10-25,1374
71,36,2015-09-25,615
72,36,2015-10-25,616
73,37,2015-09-25,665
74,37,2015-10-25,584
75,38,2015-09-25,531
76,38,2015-10-25,522
77,39,2015-09-25,544
78,39,2015-10-25,691
79,40,2015-09-25,620
80,40,2015-10-25,505
81,41,2015-09-25,1253
82,41,2015-10-25,1156
83,42,2015-09-25,1102
84,42,2015-10-25,1020
85,43,2015-09-25,1209
86,43,2015-10-25,1029
87,44,2015-09-25,1407
88,44,2015-10-25,1435
89,45,2015-09-25,1255
90,45,2015-10-25,1054
91,46,2015-09-25,590
92,46,2015-10-25,577
93,47,2015-09-25,695
94,47,2015-10-25,583
95,48,2015-09-25,623
96,48,2015-10-25,522
97,49,2015-09-25,613
98,49,2015-10-25,674
99,50,2015-09-25,672
100,50,2015-10-25,642
101,51,2015-09-25,1499
102,51,2015-10-25,1214
103,52,2015-09-25,1094
104,52,2015-10-25,1206
105,53,2015-09-25,1442
106,53,2015-10-25,1412
107,54,2015-09-25,1382
108,54,2015-10-25,1235
109,55,2015-09-25,1376
110,55,2015-10-25,1386
111,56,2015-09-25,504
112,56,2015-10-25,635
113,57,2015-09-25,697
114,57,2015-10-25,678
115,58,2015-09-25,687
116,58,2015-10-25,593
117,59,2015-09-25,638
118,59,2015-10-25,656
119,60,2015-09-25,577
120,60,2015-10-25,504
121,61,2015-09-25,1020
122,61,2015-10-25,1046
123,62,2015-09-25,1415
124,62,2015-10-25,1130
125,63,2015-09-25,1333
126,63,2015-10-25,1150
127,64,2015-09-25,1089
128,64,2015-10-25,1203
129,65,2015-09-25,1346
130,65,2015-10-25,1309
131,66,2015-09-25,594
132,66,2015-10-25,627
133,67,2015-09-25,681
134,67,2015-10-25,594
135,68,2015-09-25,503
136,68,2015-10-25,562
137,69,2015-09-25,621
138,69,2015-10-25,613
139,70,2015-09-25,632
140,70,2015-10-25,567
141,71,2015-09-25,1279
142,71,2015-10-25,1419
143,72,2015-09-25,1143
144,72,2015-10-25,1285
145,73,2015-09-25,1180
146,73,2015-10-25,1173
147,74,2015-09-25,1096
148,74,2015-10-25,1202
149,75,2015-09-25,1004
150,75,2015-10-25,1481
151,76,2015-09-25,608
152,76,2015-10-25,596
153,77,2015-09-25,651
154,77,2015-10-25,658
155,78,2015-09-25,564
156,78,2015-10-25,608
157,79,2015-09-25,530
158,79,2015-10-25,544
159,80,2015-09-25,657
160,80,2015-10-25,578
161,81,2015-09-25,1336
162,81,2015-10-25,1273
163,82,2015-09-25,1162
164,82,2015-10-25,1250
165,83,2015-09-25,1260
166,83,2015-10-25,1181
167,84,2015-09-25,1268
168,84,2015-10-25,1320
169,85,2015-09-25,1479
170,85,2015-10-25,1397
171,86,2015-09-25,668
172,86,2015-10-25,595
173,87,2015-09-25,669
174,87,2015-10-25,502
175,88,2015-09-25,555
176,88,2015-10-25,654
177,89,2015-09-25,592
178,89,2015-10-25,617
179,90,2015-09-25,664
180,90,2015-10-25,616
181,91,2015-09-25,1342
182,91,2015-10-25,1119
183,92,2015-09-25,1336
184,92,2015-10-25,1007
185,93,2015-09-25,1275
186,93,2015-10-25,1404
187,94,2015-09-25,1443
188,94,2015-10-25,1205
189,95,2015-09-25,1196
190,95,2015-10-25,1431
191,96,2015-09-25,518
