idProyecto,Presupuesto,InicioPeriodo,FinPeriodo,idEspecie
1,5699,'2015-03-27',,2
2,6993,'2015-10-25',,13
3,7304,'2015-01-29',,24
4,7566,'2015-03-19',,16
5,9287,'2015-02-24',,12
6,8118,'2015-11-16',,24
7,9881,'2015-05-08',,11
8,6401,'2015-10-17',,8
9,7827,'2015-11-02',,11
10,6319,'2015-05-30',,13
11,6071,'2015-09-11',,11
12,9741,'2015-08-16',,2
13,9389,'2015-03-14',,10
14,6499,'2015-06-01',,24
15,8952,'2015-08-05',,15
16,8302,'2015-11-02',,2
17,5544,'2015-02-17',,22
18,5491,'2015-06-30',,8
19,7916,'2015-04-14',,23
20,8245,'2015-03-05',,17
21,7922,'2015-12-01',,5
22,8222,'2015-01-06',,14
23,6781,'2015-06-20',,16
24,6924,'2015-06-16',,17
25,5447,'2015-12-14',,7
26,8739,'2015-12-17',,19
27,7491,'2015-11-10',,19
28,5616,'2015-04-28',,15
29,5940,'2015-09-09',,2
30,6029,'2015-02-28',,1
31,6921,'2015-02-12',,1
32,7825,'2015-05-23',,3
33,6108,'2015-04-08',,14
34,6006,'2015-06-12',,8
35,9775,'2015-04-10',,5
36,8449,'2015-11-04',,23
37,8597,'2015-01-11',,18
38,9499,'2015-03-28',,16
39,6706,'2015-12-15',,16
40,7309,'2015-12-09',,4
41,7012,'2015-07-26',,24
42,5094,'2015-06-11',,13
43,9926,'2015-05-11',,22
44,8653,'2015-03-08',,20
45,7583,'2015-03-10',,16
46,5465,'2015-06-22',,13
47,9618,'2015-11-30',,6
48,5449,'2015-10-16',,2
49,8223,'2015-10-06',,14
50,9881,'2015-11-20',,22
51,9678,'2015-03-03',,18
52,6371,'2015-06-03',,23
53,6396,'2015-02-21',,21
54,9351,'2015-10-16',,20
55,5540,'2015-09-16',,21
56,8696,'2015-08-14',,13
57,9584,'2015-09-21',,7
58,8447,'2015-11-18',,3
59,6835,'2015-04-07',,2
60,9453,'2015-07-19',,24
61,8155,'2015-08-31',,21
62,9901,'2015-10-27',,21
63,6354,'2015-01-24',,18
64,8418,'2015-06-23',,20
65,8425,'2015-11-29',,24
66,8048,'2015-02-18',,9
67,6549,'2015-03-04',,8
68,7601,'2015-06-06',,22
69,6725,'2015-04-03',,12
70,7216,'2015-10-24',,7
71,6544,'2015-10-07',,5
72,5647,'2015-03-17',,22
73,5419,'2015-02-22',,21
74,7898,'2015-10-15',,15
75,6747,'2015-11-27',,19
76,7479,'2015-01-14',,17
77,8407,'2015-01-18',,15
78,8743,'2015-05-06',,10
79,7547,'2015-11-21',,13
80,7300,'2015-11-17',,24
81,6045,'2015-05-04',,14
82,5170,'2015-09-15',,16
83,7143,'2015-09-03',,3
84,7221,'2015-11-10',,10
85,5249,'2015-01-30',,14
86,8637,'2015-08-05',,3
87,8693,'2015-04-15',,22
88,8126,'2015-04-06',,22
89,8259,'2015-09-08',,2
90,5682,'2015-08-06',,3
91,7282,'2015-03-08',,4
92,6443,'2015-04-09',,20
93,5219,'2015-04-25',,19
94,9097,'2015-01-14',,5
95,9589,'2015-06-22',,18
96,9890,'2015-11-29',,13
97,9547,'2015-08-10',,11
98,8979,'2015-01-06',,17
99,8877,'2015-02-16',,13
100,7442,'2015-02-17',,6
101,5247,'2015-06-08',,17
102,5502,'2015-04-07',,24
103,9957,'2015-11-28',,19
104,6529,'2015-11-01',,5
105,8580,'2015-04-11',,6
106,6957,'2015-02-15',,17
107,8739,'2015-03-03',,9
108,7271,'2015-09-22',,4
109,5782,'2015-02-12',,3
110,9011,'2015-07-25',,20
111,5146,'2015-07-16',,10
112,6169,'2015-02-22',,8
113,5165,'2015-04-01',,2
114,6131,'2015-05-13',,15
115,5897,'2015-07-03',,7
116,9106,'2015-09-24',,20
117,8942,'2015-10-23',,11
118,7215,'2015-10-30',,1
119,8880,'2015-05-20',,1
120,6508,'2015-07-03',,11
121,7762,'2015-11-27',,16
122,7749,'2015-10-17',,22
123,8641,'2015-04-06',,5
124,7515,'2015-08-29',,14
125,9132,'2015-11-26',,13
126,9272,'2015-04-28',,12
127,9268,'2015-08-28',,23
128,8862,'2015-03-29',,20
129,6186,'2015-01-03',,23
130,6319,'2015-05-26',,11
131,7750,'2015-11-29',,6
132,9136,'2015-04-30',,21
133,5990,'2015-09-09',,9
134,9698,'2015-12-13',,11
135,9413,'2015-08-11',,7
136,8881,'2015-07-04',,12
137,7354,'2015-05-09',,11
138,5116,'2015-03-27',,24
139,5042,'2015-01-15',,15
140,9804,'2015-06-12',,11
141,9049,'2015-06-14',,17
142,6555,'2015-08-15',,3
143,6644,'2015-01-03',,8
144,5054,'2015-07-08',,7
145,9311,'2015-04-17',,10
146,5026,'2015-03-10',,16
147,7969,'2015-01-30',,17
148,5376,'2015-08-06',,10
149,8969,'2015-08-28',,11
150,7471,'2015-03-23',,2
151,7124,'2015-05-12',,4
152,6794,'2015-09-22',,14
153,6096,'2015-09-06',,1
154,8248,'2015-10-26',,20
155,9857,'2015-10-03',,4
156,9055,'2015-06-05',,19
157,7643,'2015-01-13',,16
158,8472,'2015-09-22',,4
159,9807,'2015-03-15',,10
160,6623,'2015-03-27',,20
161,6405,'2015-04-16',,16
162,8190,'2015-04-11',,16
163,8569,'2015-08-10',,10
164,5452,'2015-07-01',,18
165,9636,'2015-01-12',,11
166,8243,'2015-04-14',,3
167,8751,'2015-02-20',,17
168,8204,'2015-07-19',,18
169,9480,'2015-10-16',,16
170,5589,'2015-04-15',,4
171,7045,'2015-01-12',,4
172,6412,'2015-07-17',,7
173,7153,'2015-05-11',,20
174,8085,'2015-03-25',,1
175,5554,'2015-08-15',,1
176,5228,'2015-09-06',,12
177,5572,'2015-10-23',,4
178,8949,'2015-03-06',,12
179,6157,'2015-09-11',,23
180,6117,'2015-05-31',,19
181,8716,'2015-12-15',,19
182,5711,'2015-02-08',,6
183,7941,'2015-09-04',,20
184,8883,'2015-11-18',,4
185,5752,'2015-07-07',,17
186,8831,'2015-05-30',,21
187,6127,'2015-03-28',,11
188,5817,'2015-04-13',,16
189,6516,'2015-09-29',,12
190,7759,'2015-07-24',,8
191,6703,'2015-12-08',,4
192,6182,'2015-05-30',,22
193,8793,'2015-08-08',,21
194,6018,'2015-12-17',,19
195,8734,'2015-07-26',,20
196,7343,'2015-11-24',,18
197,8892,'2015-03-23',,22
198,8665,'2015-07-13',,8
199,5732,'2015-07-21',,24
200,7105,'2015-09-21',,16
