idEventoExcursion,idHorarioXExcursion,idTipoVehiculo,idVisitante,PrecioEntrada
1,1,3,1,20
2,1,1,2,20
3,1,1,3,20
4,1,0,4,20
5,1,2,5,20
6,1,0,6,20
7,1,0,7,20
8,1,1,8,20
9,1,1,9,20
10,1,0,10,24
11,1,3,11,22
12,1,2,12,21
13,1,0,13,25
14,1,0,14,20
15,1,3,15,21
16,1,3,16,20
17,1,3,17,23
18,1,1,18,20
19,1,3,19,24
20,1,0,20,23
21,1,0,21,25
22,1,1,22,25
23,1,1,23,25
24,1,1,24,24
25,1,2,25,22
26,1,3,26,20
27,1,3,27,20
28,1,0,28,24
29,1,1,29,24
30,1,2,30,23
31,1,0,31,22
32,1,0,32,25
33,1,2,33,22
34,1,2,34,25
35,1,1,35,21
36,1,3,36,23
37,1,0,37,22
38,1,3,38,23
39,1,0,39,23
40,1,0,40,22
41,1,3,41,24
42,1,2,42,25
43,1,2,43,22
44,1,0,44,24
45,1,2,45,21
46,1,2,46,20
47,1,2,47,24
48,1,0,48,23
49,1,3,49,21
50,1,1,50,24
51,1,0,51,21
52,1,2,52,20
53,1,3,53,25
54,1,0,54,25
55,1,0,55,25
56,1,1,56,22
57,1,1,57,23
58,1,2,58,25
59,1,0,59,22
60,1,2,60,24
61,1,2,61,22
62,1,3,62,21
63,1,1,63,22
64,1,3,64,20
65,1,0,65,20
66,1,2,66,24
67,1,3,67,25
68,1,0,68,22
69,1,3,69,20
70,1,1,70,20
71,1,0,71,22
72,1,0,72,21
73,1,3,73,23
74,1,2,74,25
75,1,0,75,24
76,2,2,76,21
77,2,3,77,20
78,2,0,78,20
79,2,2,79,20
80,2,0,80,23
81,2,2,81,25
82,2,0,82,21
83,2,2,83,24
84,2,1,84,22
85,2,0,85,20
86,2,3,86,20
87,2,0,87,23
88,2,3,88,25
89,2,3,89,20
90,2,2,90,23
91,2,3,91,23
92,2,0,92,24
93,2,0,93,20
94,2,1,94,21
95,2,3,95,25
96,2,0,96,20
97,2,2,97,22
98,2,2,98,24
99,2,0,99,25
