idExcursion,idAlojamiento,Nombre,PrecioOrganizacion
1,1,'Vistamiento de fauna marina',98
2,2,'Vistamiento de fauna marina',94
3,3,'Vistamiento de fauna marina',87
4,4,'Vistamiento de fauna marina',86
5,5,'Vistamiento de fauna marina',88
6,6,'Vistamiento de fauna marina',100
7,7,'Vistamiento de fauna marina',86
8,8,'Vistamiento de fauna marina',96
9,9,'Vistamiento de fauna marina',92
10,10,'Vistamiento de fauna marina',82
11,11,'Vistamiento de fauna marina',89
12,12,'Vistamiento de fauna marina',75
13,13,'Vistamiento de fauna marina',93
14,14,'Vistamiento de fauna marina',76
15,15,'Vistamiento de fauna marina',100
16,16,'Vistamiento de fauna marina',77
17,17,'Vistamiento de fauna marina',79
18,18,'Vistamiento de fauna marina',96
19,19,'Vistamiento de fauna marina',75
20,20,'Vistamiento de fauna marina',86
21,21,'Vistamiento de fauna marina',76
22,22,'Vistamiento de fauna marina',80
23,23,'Vistamiento de fauna marina',94
24,24,'Vistamiento de fauna marina',98
25,25,'Vistamiento de fauna marina',82
26,26,'Vistamiento de fauna marina',75
27,27,'Vistamiento de fauna marina',79
28,28,'Vistamiento de fauna marina',83
29,29,'Vistamiento de fauna marina',84
30,30,'Vistamiento de fauna marina',99
31,31,'Vistamiento de fauna marina',77
32,32,'Vistamiento de fauna marina',96
33,33,'Vistamiento de fauna marina',96
34,34,'Vistamiento de fauna marina',81
35,35,'Vistamiento de fauna marina',82
36,36,'Vistamiento de fauna marina',75
37,37,'Vistamiento de fauna marina',85
38,38,'Vistamiento de fauna marina',99
39,39,'Vistamiento de fauna marina',75
40,40,'Vistamiento de fauna marina',84
41,41,'Vistamiento de fauna marina',75
42,42,'Vistamiento de fauna marina',85
43,43,'Vistamiento de fauna marina',97
44,44,'Vistamiento de fauna marina',92
45,45,'Vistamiento de fauna marina',80
46,46,'Vistamiento de fauna marina',82
47,47,'Vistamiento de fauna marina',86
48,48,'Vistamiento de fauna marina',94
49,49,'Vistamiento de fauna marina',87
50,50,'Vistamiento de fauna marina',81
51,51,'Vistamiento de fauna marina',85
52,52,'Vistamiento de fauna marina',82
53,53,'Vistamiento de fauna marina',80
54,54,'Vistamiento de fauna marina',82
55,55,'Vistamiento de fauna marina',98
56,56,'Vistamiento de fauna marina',81
57,57,'Vistamiento de fauna marina',91
58,58,'Vistamiento de fauna marina',87
59,59,'Vistamiento de fauna marina',88
